Wavelength(um),SEBSControl,05um,1um,2um,4um,8um
2.724,0,0,0,0,0,0
2.725,0,0,0,0,0,0
2.726,0,0,0,0,0,0
2.727,0,0,0,0,0,0
2.728,0,0,0,0,0,0
2.729,0,0,0,0,0,0
2.73,0,0,0,0,0,0
2.731,0,0,0,0,0,0
2.732,0,0,0,0,0,0
2.733,0,0,0,0,0,0
2.734,0,0,0,0,0,0
2.735,0,0,0,0,0,0
2.736,0,0,0,0,0,0
2.737,0,0,0,0,0,0
2.738,0,0,0,0,0,0
2.739,0,0,0,0,0,0
2.74,0,0,0,0,0,0
2.741,0,0,0,0,0,0
2.742,0,0,0,0,0,0
2.743,0,0,0,0,0,0
2.744,0,0,0,0,0,0
2.745,0,0,0,0,0,0
2.746,0,0,0,0,0,0
2.747,0,0,0,0,0,0
2.748,0,0,0,0,0,0
2.749,0,0,0,0,0,0
2.75,0,0,0,0,0,0
2.751,0,0,0,0,0,0
2.752,0,0,0,0,0,0
2.753,0,0,0,0,0,0
2.754,0,0,0,0,0,0
2.755,0,0,0,0,0,0
2.756,0,0,0,0,0,0
2.757,0,0,0,0,0,0
2.758,0,0,0,0,0,0
2.759,0,0,0,0,0,0
2.76,0,0,0,0,0,0
2.761,0,0,0,0,0,0
2.762,0,0,0,0,0,0
2.763,0,0,0,0,0,0
2.764,0,0,0,0,0,0
2.765,0,0,0,0,0,0
2.766,0,0,0,0,0,0
2.767,0,0,0,0,0,0
2.768,0,0,0,0,0,0
2.769,0,0,0,0,0,0
2.77,0,0,0,0,0,0
2.771,0,0,0,0,0,0
2.772,0,0,0,0,0,0
2.773,0,0,0,0,0,0
2.774,0,0,0,0,0,0
2.775,0,0,0,0,0,0
2.776,0,0,0,0,0,0
2.777,0,0,0,0,0,0
2.778,0,0,0,0,0,0
2.779,0,0,0,0,0,0
2.78,0,0,0,0,0,0
2.781,0,0.0000142989512,0,0,0,0
2.782,0,0,0,0,0,0
2.783,0,0.00003822218206,0,0,0,0
2.784,0,0.000155412416,0,0,0,0
2.785,0,0.0002302320018,0,0,0,0
2.786,0,0.0001816574621,0,0,0,0
2.787,0,0.00009555271591,0,0,0,0
2.788,0,0.00009923649324,0,0,0,0
2.789,0,0.0002113549729,0,0,0,0
2.79,0,0.0003844577877,0,0,0,0
2.791,0,0.0005662755383,0,0,0,0
2.792,0,0.0007181485568,0,0,0,0
2.793,0,0.0007848733424,0,0,0,0
2.794,0,0.0007020419065,0,0,0,0
2.795,0,0.0005087418525,0,0,0,0
2.796,0,0.0004834259815,0,0,0,0
2.797,0,0.0007227504092,0,0,0,0
2.798,0,0.0009091076228,0,0,0,0
2.799,0,0.0007871741176,0,0,0,0
2.8,0,0.0005961917461,0,0,0,0
2.801,0,0.0005754806207,0,0,0,0
2.802,0,0.0006514193156,0,0,0,0
2.803,0,0.0007365558392,0,0,0,0
2.804,0,0.0008769002185,0,0,0,0
2.805,0,0.001037926858,0,0,0,0
2.806,0,0.001054028094,0,0,0,0
2.807,0,0.0008124822952,0,0,0,0
2.808,0,0.0005409611246,0,0,0,0
2.809,0,0.0005938905312,0,0,0,0
2.81,0,0.001001123057,0,0,0,0
2.811,0,0.001398992233,0,0,0,0
2.812,0,0.001553037725,0,0,0,0
2.813,0,0.001500159115,0,0,0,0
2.814,0,0.001408189646,0,0,0,0
2.815,0,0.001474868356,0,0,0,0
2.816,0,0.001649591438,0,0,0,0
2.817,0,0.001684072644,0,0,0,0
2.818,0,0.001564532704,0,0,0,0
2.819,0,0.001576027551,0,0,0,0
2.82,0,0.001746135813,0,0,0,0
2.821,0,0.001838074158,0,0,0,0
2.822,0,0.001801299836,0,0,0,0
2.823,0,0.001780613685,0,0,0,0
2.824,0,0.001803598271,0,0,0,0
2.825,0,0.001780613685,0,0,0,0
2.826,0,0.001667981562,0,0,0,0
2.827,0,0.001546140674,0,0,0,0
2.828,0,0.001497859982,0,0,0,0
2.829,0,0.001518551993,0,0,0,0
2.83,0,0.001656487774,0,0,0,0
2.831,0,0.001936898435,0,0,0,0
2.832,0,0.002164386902,0,0,0,0
2.833,0,0.002127624602,0,0,0,0
2.834,0,0.002003541841,0,0,0,0
2.835,0,0.002072478613,0,0,0,0
2.836,0,0.00227007097,0,0,0,0
2.837,0,0.002398714727,0,0,0,0
2.838,0,0.002398714727,0,0,0,0
2.839,0,0.002334394922,0,0,0,0
2.84,0,0.002313719818,0,0,0,0
2.841,0,0.002407902932,0,0,0,0
2.842,0,0.002584759387,0,0,0,0
2.843,0,0.002779954129,0,0,0,0
2.844,0,0.002929194921,0,0,0,0
2.845,0,0.002922307376,0,0,0,0
2.846,0,0.002777657942,0,0,0,0
2.847,0,0.002694991701,0,0,0,0
2.848,0,0.002754695785,0,0,0,0
2.849,0,0.002830468897,0,0,0,0
2.85,0,0.002855725322,0,0,0,0
2.851,0,0.002894756721,0,0,0,0
2.852,0,0.002993476379,0,0,0,0
2.853,0,0.003133503779,0,0,0,0
2.854,0,0.003236790075,0,0,0,0
2.855,0,0.003200067284,0,0,0,0
2.856,0,0.003039389169,0,0,0,0
2.857,0,0.002899348549,0,0,0,0
2.858,0,0.002878685153,0,0,0,0
2.859,0,0.002972814934,0,0,0,0
2.86,0,0.00311514065,0,0,0,0
2.861,0,0.00317941012,0,0,0,0
2.862,0,0.003144980562,0,0,0,0
2.863,0,0.003151866569,0,0,0,0
2.864,0,0.003273511512,0,0,0,0
2.865,0,0.003418089021,0,0,0,0
2.866,0,0.003493811728,0,0,0,0
2.867,0,0.003505284363,0,0,0,0
2.868,0,0.003521345831,0,0,0,0
2.869,0.00003822218206,0.0036222977,0,0,0,0
2.87,0.0001851107064,0.003773706329,0,0,0,0
2.871,0.00032230996,0.003856283155,0,0,0,0
2.872,0.0003982678914,0.003826464535,0,0,0,0
2.873,0.0004419986277,0.003737003319,0,0,0,0
2.874,0.0005777818781,0.0036222977,0,0,0,0
2.875,0.0007296531481,0.003521345831,0,0,0,0
2.876,0.0006514193156,0.003496106265,0,0,0,0
2.877,0.0003729492222,0.003507578874,0,0,0,0
2.878,0.0002486482719,0.003450214509,0,0,0,0
2.879,0.0003936645447,0.0033561298,0,0,0,0
2.88,0.0005616729653,0.003340065669,0,0,0,0
2.881,0.0006307093347,0.003461687646,0,0,0,0
2.882,0.0006974399588,0.003714063252,0,0,0,0
2.883,0.0007802717761,0.004016829613,0,0,0,0
2.884,0.0007733693869,0.004202572508,0,0,0,0
2.885,0.0006238059123,0.0041911079,0,0,0,0
2.886,0.0004466017518,0.004097093139,0,0,0,0
2.887,0.0003798543774,0.004044349265,0,0,0,0
2.888,0.0003959662207,0.004074161363,0,0,0,0
2.889,0.0003913628634,0.004147541188,0,0,0,0
2.89,0.0004051728717,0.004117731286,0,0,0,0
2.891,0.0005064404362,0.00391133057,0,0,0,0
2.892,0.0006030953592,0.003720945328,0,0,0,0
2.893,0.0005892880853,0.003725533352,0,0,0,0
2.894,0.0005432624614,0.003792057326,0,0,0,0
2.895,0.0005409611246,0.003755354993,0,0,0,0
2.896,0.0005225502392,0.003734709336,0,0,0,0
2.897,0.0004765215418,0.003897569002,0,0,0,0
2.898,0.0004719185555,0.004177350197,0,0,0,0
2.899,0.0005271529923,0.004385988279,0,0,0,0
2.9,0.0006583225472,0.004388280762,0,0,0,0
2.901,0.0008377898318,0.00418652202,0,0,0,0
2.902,0.0009252109356,0.00390444981,0,0,0,0
2.903,0.0008492930456,0.003753061052,0,0,0,0
2.904,0.000777970985,0.003833345834,0,0,0,0
2.905,0.0008538942941,0.004000776132,0,0,0,0
2.906,0.0009965224866,0.004085627317,0,0,0,0
2.907,0.001102330247,0.004092506826,0,0,0,0
2.908,0.001155229924,0.004163592303,0,0,0,0
2.909,0.001123030454,0.004358478067,0,0,0,0
2.91,0.0009758196575,0.004544157246,0,0,0,0
2.911,0.0008193844142,0.004548741479,0,0,0,0
2.912,0.0007135466832,0.004388280762,0,0,0,0
2.913,0.0005869868545,0.004236965538,0,0,0,0
2.914,0.0004028712169,0.004216329862,0,0,0,0
2.915,0.0002670642028,0.004294284617,0,0,0,0
2.916,0.0002509502818,0.004356185515,0,0,0,0
2.917,0.0003200081144,0.004367648222,0,0,0,0
2.918,0.0003936645447,0.004379110797,0,0,0,0
2.919,0.0004650140362,0.0043997431,0,0,0,0
2.92,0.0005662755383,0.0043997431,0,0,0,0
2.921,0.0007181485568,0.004376818293,0,0,0,0
2.922,0.0008999056132,0.004347015254,0,0,0,0
2.923,0.001031026248,0.004271357381,0,0,0,0
2.924,0.0009666182624,0.004138369005,0,0,0,0
2.925,0.0006606236138,0.004081040952,0,0,0,0
2.926,0.0003038950468,0.0041911079,0,0,0,0
2.927,0.0002003048394,0.004344722676,0,0,0,0
2.928,0.0004097761654,0.004347015254,0,0,0,0
2.929,0.0007204494857,0.004188814963,0,0,0,0
2.93,0.0009137085958,0.004046642535,0,0,0,0
2.931,0.0009367131429,0.004055815562,0,0,0,0
2.932,0.0008492930456,0.004193400832,0,0,0,0
2.933,0.0007480602186,0.004347015254,0,0,0,0
2.934,0.0006928379898,0.004413497731,0,0,0,0
2.935,0.000605396553,0.004369940748,0,0,0,0
2.936,0.0003752509459,0.004259893566,0,0,0,0
2.937,0.00007805458823,0.004161299303,0,0,0,0
2.938,0,0.004129196738,0,0,0,0
2.939,0.00005456977772,0.004147541188,0,0,0,0
2.94,0.0003499316938,0.004147541188,0,0,0,0
2.941,0.0006330104649,0.004138369005,0,0,0,0
2.942,0.0007802717761,0.004225501327,0,0,0,0
2.943,0.0008170837132,0.004404327998,0,0,0,0
2.944,0.0008653973225,0.004489144804,0,0,0,0
2.945,0.000962017533,0.004344722676,0,0,0,0
2.946,0.001031026248,0.004090213662,0,0,0,0
2.947,0.0009988227745,0.003931972567,0,0,0,0
2.948,0.0008999056132,0.00391133057,0,0,0,0
2.949,0.0008331885092,0.003966374943,0,0,0,0
2.95,0.000860796127,0.004110851951,0,0,0,0
2.951,0.0009413139888,0.004376818293,0,0,0,0
2.952,0.0009528160108,0.004642713604,0,0,0,0
2.953,0.0008400904852,0.004725218399,0,0,0,0
2.954,0.0006836339883,0.004583122554,0,0,0,0
2.955,0.0005961917461,0.004365355691,0,0,0,0
2.956,0.0005961917461,0.004195693759,0,0,0,0
2.957,0.0006422149326,0.004110851951,0,0,0,0
2.958,0.0007089447884,0.004113145068,0,0,0,0
2.959,0.000777970985,0.004193400832,0,0,0,0
2.96,0.0008055801285,0.004278235607,0,0,0,0
2.961,0.0007710685799,0.004262186339,0,0,0,0
2.962,0.0006882359997,0.004124610573,0,0,0,0
2.963,0.000621504761,0.00397554871,0,0,0,0
2.964,0.0006192036043,0.003931972567,0,0,0,0
2.965,0.0006537203981,0.004039762709,0,0,0,0
2.966,0.0006491182278,0.004230087027,0,0,0,0
2.967,0.0005938905312,0.004379110797,0,0,0,0
2.968,0.0005317557243,0.004381403296,0,0,0,0.00008311986721
2.969,0.0004995361554,0.004236965538,0,0,0,0.0001457430148
2.97,0.0005179474648,0.004026002915,0,0,0,0.000156103084
2.971,0.0006238059123,0.003856283155,0,0,0,0.00008611297454
2.972,0.0007963771654,0.003769118526,0,0,0,0
2.973,0.0008999056132,0.003757648928,0,0,0,0
2.974,0.0007848733424,0.003805820352,0,0,0,0
2.975,0.0004811245069,0.00391133057,0,0,0,0
2.976,0.0001933984439,0.004062695277,0,0,0,0.000002194361186
2.977,0.000134231701,0.004204865413,0,0,0,0.00008680369035
2.978,0.0002992912655,0.004291991917,0,0,0,0.00008311986721
2.979,0.0004880289148,0.004321796602,0,0,0,0.00002670963037
2.98,0.0005317557243,0.004303455363,0,0,0,0
2.981,0.0004673155479,0.004207158314,0,0,0,0
2.982,0.0004166810662,0.004009949582,0,0,0,0.00009785507833
2.983,0.0004074745212,0.003776000222,0,0,0,0.0001917869448
2.984,0.0003867594849,0.00360623786,0,0,0,0.0001752113743
2.985,0.0003499316938,0.003574117402,0,0,0,0.00007598242126
2.986,0.000340724534,0.003640651487,0,0,0,0.00002717013498
2.987,0.0003706474932,0.003720945328,0,0,0,0.0000794360305
2.988,0.0004212843069,0.003718651308,0,0,0,0.000180736595
2.989,0.0004834259815,0.003620003453,0,0,0,0.0002739700894
2.99,0.0005156460697,0.003505284363,0,0,0,0.0003384227308
2.991,0.0004489033059,0.003450214509,0,0,0,0.0003453281245
2.992,0.000283177864,0.003445625217,0,0,0,0.000283177864
2.993,0.0001261737025,0.00340891012,0,0,0,0.0001968516476
2.994,0.00006953565209,0.003307936631,0,0,0,0.0001376851091
2.995,0.0001036109612,0.003225314348,0,0,0,0.0001160435551
2.996,0.0001685350252,0.003243675447,0,0,0,0.0001132807698
2.997,0.0002279299442,0.003328591131,0,0,0,0.0001174249449
2.998,0.0002555542858,0.003360719504,0,0,0,0.000120878411
2.999,0.0002302320018,0.003321706345,0,0,0,0.0001137412346
3,0.0001574844184,0.003307936631,0,0,0,0.00009486200615
3.001,0.00005733272523,0.003363014348,0,0,0,0.00008288962781
3.002,0,0.003383667707,0,0,0,0.00008979678665
3.003,0,0.003287281702,0,0,0,0.00009509224279
3.004,0,0.003126617645,0,0,0,0.00006562152196
3.005,0,0.003014137396,0,0,0,0.00001148983361
3.006,0,0.002954448845,0,0,0,0
3.007,0,0.002894756721,0,0,0,0
3.008,0,0.002858021329,0,0,0,0.00001591073642
3.009,0,0.002922307376,0,0,0,0
3.01,0,0.003085299845,0,0,0,0
3.011,0,0.003184000638,0,0,0,0
3.012,0,0.003085299845,0,0,0,0
3.013,0,0.002851133293,0,0,0,0
3.014,0,0.002708769884,0,0,0,0
3.015,0,0.002763880711,0,0,0,0
3.016,0,0.002883277056,0,0,0,0
3.017,0,0.002908532143,0,0,0,0
3.018,0,0.002835061022,0,0,0,0.000002993356141
3.019,0,0.002800619571,0,0,0,0.000002175940546
3.02,0,0.002832764963,0,0,0,0.0000005226866795
3.021,0,0.002839653126,0,0,0,0
3.022,0,0.002736325678,0,0,0,0
3.023,0,0.002591649263,0,0,0,0
3.024,0,0.00249059297,0,0,0,0
3.025,0,0.002437764014,0,0,0,0
3.026,0,0.002378040956,0,0,0,0
3.027,0,0.002336692129,0,0,0,0
3.028,0,0.002396417662,0,0,0,0
3.029,0,0.002552606,0,0,0,0
3.03,0,0.002688102538,0,0,0,0
3.031,0,0.002729436801,0,0,0,0
3.032,0,0.002722547876,0,0,0,0
3.033,0,0.002734029391,0,0,0,0
3.034,0,0.002768473143,0,0,0,0
3.035,0,0.002793731138,0,0,0,0
3.036,0,0.002798323432,0,0,0,0
3.037,0,0.002745510774,0,0,0,0
3.038,0,0.002612318607,0,0,0,0
3.039,0,0.002419388069,0,0,0,0
3.04,0,0.002260881495,0,0,0,0
3.041,0,0.002198850328,0,0,0,0
3.042,0,0.002189660197,0,0,0,0
3.043,0,0.002155196454,0,0,0,0
3.044,0,0.002093158716,0,0,0,0
3.045,0,0.002083967612,0,0,0,0
3.046,0,0.002171279682,0,0,0,0
3.047,0,0.002288449665,0,0,0,0
3.048,0,0.002348178086,0,0,0,0
3.049,0,0.002359663911,0,0,0,0
3.05,0,0.002396417662,0,0,0,0
3.051,0,0.002444654906,0,0,0,0
3.052,0,0.002423982087,0,0,0,0
3.053,0,0.002322908806,0,0,0,0
3.054,0,0.002203445361,0,0,0,0
3.055,0,0.002067882977,0,0,0,0
3.056,0,0.001904724163,0,0,0,0
3.057,0,0.001803598271,0,0,0,0
3.058,0,0.001884040155,0,0,0,0
3.059,0,0.002063287319,0,0,0,0
3.06,0,0.002157494074,0,0,0,0
3.061,0,0.002139112966,0,0,0,0
3.062,0,0.00212302922,0,0,0,0
3.063,0,0.002136815304,0,0,0,0
3.064,0,0.002074776424,0,0,0,0
3.065,0,0.001934600307,0,0,0,0
3.066,0,0.001844969193,0,0,0,0
3.067,0,0.001867952297,0,0,0,0
3.068,0,0.001930004035,0,0,0,0
3.069,0,0.001948388995,0,0,0,0
3.07,0,0.001925407743,0,0,0,0
3.071,0,0.00186565401,0,0,0,0
3.072,0,0.001780613685,0,0,0,0
3.073,0,0.001732344331,0,0,0,0
3.074,0,0.001780613685,0,0,0,0
3.075,0,0.001888636638,0,0,0,0
3.076,0,0.001959879422,0,0,0,0
3.077,0,0.001939196557,0,0,0,0
3.078,0,0.00185186418,0,0,0,0
3.079,0,0.00175762857,0,0,0,0
3.08,0,0.001713955392,0,0,0,0
3.081,0,0.001755330029,0,0,0,0
3.082,0,0.001817388769,0,0,0,0
3.083,0,0.001780613685,0,0,0,0
3.084,0,0.001628902142,0,0,0,0
3.085,0,0.001486364235,0,0,0,0
3.086,0,0.001472569164,0,0,0,0
3.087,0,0.001557635732,0,0,0,0
3.088,0,0.001624304463,0,0,0,0
3.089,0,0.001624304463,0,0,0,0
3.09,0,0.001599016848,0,0,0,0
3.091,0,0.001589821193,0,0,0,0
3.092,0,0.001596717942,0,0,0,0
3.093,0,0.001622005615,0,0,0,0
3.094,0,0.001667981562,0,0,0,0
3.095,0,0.001709358105,0,0,0,0
3.096,0,0.001679475218,0,0,0,0
3.097,0,0.001564532704,0,0,0,0
3.098,0,0.001433482095,0,0,0,0
3.099,0,0.001382896557,0,0,0,0
3.1,0,0.001428883515,0,0,0,0
3.101,0,0.001488663395,0,0,0,0
3.102,0,0.001493261699,0,0,0,0
3.103,0,0.001461073126,0,0,0,0
3.104,0,0.001438080653,0,0,0,0
3.105,0,0.001426584218,0,0,0,0
3.106,0,0.001385195955,0,0,0,0
3.107,0,0.001297815101,0,0,0,0
3.108,0,0.00117822891,0,0,0,0
3.109,0,0.001019525127,0,0,0,0
3.11,0,0.0008354891732,0,0,0,0
3.111,0,0.0007135466832,0,0,0,0
3.112,0,0.0007457593533,0,0,0,0
3.113,0,0.0008953045767,0,0,0,0
3.114,0,0.001024125591,0,0,0,0
3.115,0,0.001079329513,0,0,0,0
3.116,0,0.001155229924,0,0,0,0
3.117,0,0.001313912149,0,0,0,0
3.118,0,0.001495560843,0,0,0,0
3.119,0,0.001599016848,0,0,0,0
3.12,0,0.001587522265,0,0,0,0
3.121,0,0.001472569164,0,0,0,0
3.122,0,0.001267919896,0,0,0,0
3.123,0,0.001028726035,0,0,0,0
3.124,0,0.0008584955214,0,0,0,0
3.125,0,0.0008193844142,0,0,0,0
3.126,0,0.0008769002185,0,0,0,0
3.127,0,0.0009666182624,0,0,0,0
3.128,0,0.001049427768,0,0,0,0
3.129,0,0.001067828948,0,0,0,0
3.13,0,0.0009689186191,0,0,0,0
3.131,0,0.000807880856,0,0,0,0
3.132,0,0.0007319540504,0,0,0,0
3.133,0,0.0007802717761,0,0,0,0
3.134,0,0.000844691776,0,0,0,0
3.135,0,0.0008239858004,0,0,0,0
3.136,0,0.0007733693869,0,0,0,0
3.137,0,0.000807880856,0,0,0,0
3.138,0,0.0008999056132,0,0,0,0
3.139,0,0.0009344127121,0,0,0,0
3.14,0,0.0008792007818,0,0,0,0
3.141,0,0.0008124822952,0,0,0,0
3.142,0,0.0008400904852,0,0,0,0
3.143,0,0.0009804203232,0,0,0,0
3.144,0,0.00117132927,0,0,0,0
3.145,0,0.001284017425,0,0,0,0
3.146,0,0.001224225294,0,0,0,0
3.147,0,0.001017224887,0,0,0,0
3.148,0,0.0007986779141,0,0,0,0
3.149,0,0.0006790319558,0,0,0,0
3.15,0,0.0006583225472,0,0,0.000004190696088,0
3.151,0,0.0007043428725,0,0,0.000004766339783,0
3.152,0,0.0008032793957,0,0,0,0
3.153,0,0.0009045066286,0,0,0,0
3.154,0,0.0009206100155,0,0,0,0
3.155,0,0.0008170837132,0,0,0,0
3.156,0,0.000695138977,0,0,0,0
3.157,0,0.0006721288673,0,0,0,0
3.158,0,0.0007296531481,0,0,0,0
3.159,0,0.0007434584827,0,0,0.00002148288816,0
3.16,0,0.0006583225472,0,0,0.0000228874339,0
3.161,0,0.0005593716709,0,0,0.0000248676098,0
3.162,0,0.000545563793,0,0,0.00004466915311,0
3.163,0,0.0006192036043,0,0,0.00007321952528,0
3.164,0,0.0006905369974,0,0,0.00009946672887,0
3.165,0,0.0006813329747,0,0,0.0001224900244,0
3.166,0,0.0005892880853,0,0,0.0001459732398,0
3.167,0,0.0004765215418,0,0,0.0001613981889,0
3.168,0,0.0004189826892,0,0,0.0001478150373,0
3.169,0,0.0004466017518,0,0,0.000091868925,0
3.17,0,0.0005294543609,0,0,0.000007137988313,0
3.171,0,0.0006076977414,0,0,0,0
3.172,0,0.0006468171347,0,0,0,0
3.173,0,0.0006629246751,0,0,0,0
3.174,0,0.0006928379898,0,0,0,0
